Aliment,Energie (kJ/100 g),Energie(kcal/100 g),Eau (g/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Fructose (g/100 g),Galactose (g/100 g),Glucose (g/100 g),Lactose (g/100 g),Maltose (g/100 g),Saccharose (g/100 g),Autres sucres,Amidon (g/100 g),Fibres alimentaires (g/100 g),Polyols totaux (g/100 g),Cendres (g/100 g),Alcool (g/100 g),Acides organiques (g/100 g),AG saturés (g/100 g),AG monoinsaturés (g/100 g),AG polyinsaturés (g/100 g),AG butyrique (g/100 g),AG caproïque (g/100 g),AG  caprylique (g/100 g),AG caprique (g/100 g),AG laurique (g/100 g),AG  myristique (g/100 g),AG  palmitique (g/100 g),AG stéarique (g/100 g),AG oléique (g/100 g),AG linoléique (g/100 g),AG alphalinolénique (g/100 g),AG arachidonique (g/100 g),AG EPA (g/100 g),AG  DHA (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Chlorure (mg/100 g),Cuivre (mg/100 g),Fer (mg/100 g),Iode (µg/100 g),Magnésium (mg/100 g),Manganèse (mg/100 g),Phosphore (mg/100 g),Potassium (mg/100 g),Sélénium (µg/100 g),Sodium (mg/100 g),Zinc (mg/100 g),Rétinol (µg/100 g),BetaCarotène (µg/100 g),Vitamine D (µg/100 g),Vitamine E (mg/100 g),Vitamine K (µg/100 g),Vitamine C (mg/100 g),Vitamine B1 ou Thiamine (mg/100 g),Vitamine B2 ou Riboflavine (mg/100 g),Vitamine B3 ou Niacine (mg/100 g),Vitamine B5 ou Acide pantothénique (mg/100 g),Vitamine B6 (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g)
Tarte/quiche salée (aliment moyen),1110,267,51.9,8.11,8.11,22.7,15.6,3.14,0.45,,0.55,1.27,0.65,0.14,,1.76,0,1.73,0,0.053,7.83,5.16,1.65,0.3,0.19,0.11,0.22,0.26,0.92,4.72,1.24,4.47,1.24,0.12,0.034,0.0043,0.011,66.8,1.21,90.6,640,0.049,0.64,21.7,17.4,0.16,123,187,6.01,479,0.7,53.7,,0.98,1.35,,1.38,0.11,0.13,0.63,,0.11,27,0.31
Pizza au thon préemballée,922,220,,10.8,10.8,23.3,8.78,3.47,,,,,,,,2.2,0,0.99,0,0,2.97,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,397,,,,,,,,,,,,,,
Pizza au poulet préemballée,903,215,48.3,9.95,9.95,27.5,6.68,2.96,0.53,,0.4,,2.02,"< 0,25",,2.32,0,2.14,0,0,3.23,2.3,1.06,0.2,0.12,0.093,0.12,0.16,0.49,1.57,0.48,2.03,0.82,0.17,,,"< 0,01",,1.16,,,,,,,,,,,462,,,,,,,,,,,,,,
Fougasse garnie,1280,306,34.4,9.53,9.53,38.8,11.8,1.47,,,,,,,37.3,3.2,0,2.25,0,0,2.74,7.23,1.2,,,,,,,,,,,,,,,8.9,1.78,76.6,,0.11,1.24,18,23.7,0.39,88.9,177,4.51,711,0.95,0,21,0,1.22,,0.1,0.12,0.061,1.38,0.31,0.1,16.8,0.074
Croquemonsieur fait maison,,,45.1,14.3,14.3,,18.4,,,,,,,,,,0,2.38,0,0,,,,,,,,,,,,,,,,,,81.7,1.71,249,875,0.08,1.32,11,21.9,,200,189,,686,1.34,120,,0.15,0.55,,0.02,0.2,0.16,1.55,,0,,
Hamburger provenant de fast food,1030,246,46.1,13.3,13.3,28.3,8.44,5.95,3.19,0,2.13,0,0.63,0,20.7,1.8,0,2.12,0,0,2.82,3.64,0.55,"< 0,05","< 0,05","< 0,05",0.007,0.007,0.17,1.67,0.88,3.07,0.52,0.023,,0.00095,0,29,1.23,64,,0.08,1.23,16.9,29.7,0.22,110,251,< 10,492,2.26,0,34,0.1,0.07,4.9,0.3,0.35,0.19,4.06,0.37,0.11,17,1.2
Sandwich grec/Kebab pita crudités,977,233,51.8,15.2,15.2,17.4,10.9,1.1,"< 0,2",,"< 0,2","< 0,2",1.1,"< 0,2",15.9,2.3,0,2.42,0,0,3.57,3.9,0.74,0.014,0.0096,0.0096,0.029,0.13,0.34,2.03,0.81,3.04,0.66,0.066,0.013,,,47.3,1.23,33.6,607,0.2,0.95,3,21.5,0.2,,316,,492,1.8,,,,,,,,,,,,,
Sandwich grec/Kebab baguette crudités,1030,246,48.1,15,15,23.6,9.8,2.6,,,,,,,21,2,0,1.56,0,0,4.26,3.31,0.63,,,,,,,,,,,,,,,32,1.13,22.1,,0.1,2.1,4.87,22.4,0.3,117,263,10,469,2.05,1,62,0,0.2,,2,0.09,0.11,2.3,0.4,0.13,15,0.88
Sandwich baguette thon crudités (tomate salade) mayonnaise,1150,274,43,10.3,10.3,32,11.3,1.4,,,,,,,30.5,1.78,0,1.67,0,0,2.54,2.62,5.68,,,,,,,,,,,,,0.0072,0.03,24.6,1.28,26.8,,0.079,0.83,15.1,19.5,0.31,90,160,11.3,514,0.53,49.1,132,0.73,4.05,,2.63,0.051,0.055,2.73,0.28,0.13,19,0.63
Sandwich panini jambon cru mozzarella tomates,1020,243,46.6,14.2,14.2,27.2,8.35,,,,,,,,,1.4,0,2.3,0,0,,,,,,,,,,,,,,,,,,,1.24,97,,,1.1,,16.9,,,184,,493,1.3,,,,,,,,,,,,,
Sandwich baguette jambon oeuf dur crudités (tomate salade) ,934,222,49.1,10.1,10.1,30.9,5.98,2.55,,,,,,,28.4,1.88,0,2.03,0,0,3.01,1.7,0.55,,,,,,,,,,,,,,,44.1,1.45,24.6,,0.093,0.97,7.66,19.2,0.3,108,186,8.61,569,0.84,42.9,179,0.2,0.43,,5.77,0.2,0.11,1.49,0.39,0.13,22.8,0.16
Burger au poulet,1040,249,49,12.7,12.7,23.8,11,2.9,1.16,,1.16,"< 0,2",0.58,"< 0,2",18.4,1.2,0,1.93,0,0.33,1.88,5.84,2.66,0.04,0.03,0.02,0.03,0.05,0.14,1.07,0.37,5.45,2.21,0.45,"< 0,01","< 0,01","< 0,01",27.7,1.16,66,747,0.07,0.6,< 20,22,0.25,170,220,< 20,463,0.71,< 21,,"< 0,25",2.1,9.45,"< 0,5",0.1,0.051,3.67,0.79,0.16,33.4,0.3
Sandwich (aliment moyen),1020,243,46.6,14.2,14.2,27.2,8.35,,,,,,,,,1.4,0,2.3,0,0,,,,,,,,,,,,,,,,,,,1.24,97,,,1.1,,16.9,,,184,,493,1.3,,,,,,,,,,,,,
Sandwich baguette (aliment moyen),1160,277,41.4,11.2,11.2,31.4,11.6,2.46,,,,,,,,2.38,0,2.09,0,0,4.45,3.72,2.12,,,,,,,,,,,,,,,,1.54,,,,,,,,,,,615,,,,,,,,,,,,,,
Sandwich pain de mie complet jambon crudités fromage optionnel préemballé,1020,243,,10,10,23.1,11.6,2.43,,,,,,,,3.06,0,1.42,0,0,2.86,,,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,557,,,,,,,,,,,,,,
Croissant au jambon,1010,243,54,7.9,7.9,19.2,14.6,2.6,0.9,,0.67,,0.35,"< 0,27",,1.53,0,1.87,0,traces,8.5,4.13,0.96,0.39,0.25,0.18,0.33,0.44,1.34,4.3,1.27,3.36,0.67,0.14,,,"< 0,01",,1.1,219,,,,5,18.9,,,216,,500,1.7,,,,,,,,,,,,,
Brick garni (garniture : crevettes légumes volaille viande poisson etc.),781,187,65.1,12.2,12.2,8.48,11.5,0.72,,,,,,,7.75,0.59,0,2.4,0,traces,2.77,3.02,4.96,,,,,,,,,,,,,0.033,0.035,85.3,1.41,32.8,,0.13,1.03,12.9,21.5,0.15,115,183,9.35,565,0.9,45.7,88.2,0.51,4.95,,2.93,0.057,0.12,2.9,0.6,0.19,16.6,0.67
Brick à l'oeuf fait maison cuit,1060,255,56.2,10.4,10.4,12.3,18.1,1.6,,,,,,,7.5,0.5,0,2.1,0,traces,,,,,,,,,,,,,,,,,,264,1.35,70.7,,0.05,1.4,31,13.8,0.08,141,132,9.6,538,0.83,122,100,1.24,7,,3.6,0.06,0.38,0.32,1.09,0.1,92,0.81
Brick à la pomme de terre fait maison cuit,898,215,60.2,3.25,3.25,19.6,13.4,1.5,,,,,,,15.9,1.7,0,1.7,0,traces,,,,,,,,,,,,,,,,,,31,1,26.4,,0.07,0.6,5.9,13.8,0.11,54,252,1.5,400,0.26,14,45,0.14,7.7,,8.8,0.08,0.06,1.06,0.49,0.19,21,0.09
Barre glacée chocolatée,1500,359,35.2,5.12,5.12,35.8,21.4,27.7,0.22,,2.47,4.42,1.43,19.1,8.13,1.31,0.016,1.2,0,0.037,15.2,4.41,1.35,0.18,0.14,0.4,0.35,1.72,1.12,4.6,2.37,4.25,1.26,0.07,"< 0,017",0,0,8.8,0.29,145,153,0.2,1.1,16,40.3,0.2,48,251,< 5,115,1.1,58,42,"< 0,5",1.5,,< 1,0.067,0.32,0.82,0.56,0.13,0.87,0.26
Glace/crème glacée bâtonnet enrobé de chocolat,1370,328,41.3,3.42,3.35,33.4,19.8,27.9,0.4,,1.2,5.13,1.73,19.5,5.47,1.23,0,0.86,0,0.047,13.3,5.05,0.88,0.35,0.15,0.38,0.44,0.47,1.18,4.98,3.26,4.67,0.55,0.057,,0.0076,"< 0,01",17.5,0.16,93.8,130,0.14,6.33,3.63,19.2,0.1,122,26.4,1.1,65.7,0.52,134,0,0.13,2.36,,0.27,0.021,0.11,0.045,0.21,0.021,0.49,0.21
Glace au yaourt,,,68.8,3.45,3.38,22.7,2.2,20.7,"< 0,1","< 0,1",1.37,4.06,0.36,14.9,,< 3,,0.73,0,0.72,1.44,0.5,0.05,0.07,0.05,0.07,0.07,0.06,0.23,0.63,0.22,0.43,0.03,0.02,"< 0,01","< 0,01","< 0,01",,0.093,,,,,,,,,,,37,,,,,,,,,,,,,,
Lait 1er âge poudre soluble (préparation pour nourrissons),2080,497,1.17,10.9,10.7,55,25.3,38.7,,,,,,,,2.48,0,1.84,0,traces,,,,,,,,,,,,,,,,,,,0.4,425,,0.23,5.45,57.2,46.1,,259,696,7.41,162,4.59,,,8.11,8.89,,,0.47,0.87,4.75,,0.41,77.6,1.37
Lait 2e âge poudre soluble (préparation de suite),2030,485,,11.6,11.4,56.3,23.2,36.4,,,,,,3.7,,2.14,0,1.35,0,0,,,,,,,,,,,,,,,,,,,0.46,503,,,7.02,,51.2,,323,,,184,4.75,,,8.59,9.15,,,0.54,0.94,4.75,,1.02,83.4,1.42
Gauffrette MANDARINE-CITRON (Saida),124.51584,29.76 ,,"3,46g","59,79g","28,96g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREAK KIDS CHOCOLAT (Saida),1422.56,340,,"4,5g","52,6g","12,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLUM-CAKES (Saida),1502.55808,359.12 ,,"5,58 g","44,30 g","17,74 g","25,02 g",,,,,,,,,,,,,,"8,01 g",,,,,,,,,,,,,,,,,,"0,193 g",,,,,,,,,,,,,,,,,,,,,,,,,
FALFOUL NOUNOURS (Saida),1522.976,364,,"0,37g","90,9g","0,3g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPYFULL FRUITS / HAPPYFULL CUBIES (Saida),1543.896,369,,0,92 g,0,54 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36 g,,,,,,,,,,,,,,,,,,,,,,,,,
MAESTRO PASSION COFFRET DE 20 PIÈCES (Saida),1554.7744,371.6,,"4,6g","51,15g","16,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAESTRO PASSION MINI COFFRET DE 6 PIÈCES (Saida),1554.7744,371.6,,"4,6g","51,15g","16,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAESTRO PASSION STAND POUCH 12 PIÈCES (Saida),1554.7744,371.6,,"4,6g","51,15g","16,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLAT EN POUDRE (Saida),1554.7744,371.6,,"4,6g","51,15g","16,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CACAO EN POUDRE (Saida),1554.7744,371.6,,"4,6g","51,15g","16,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPYFULL RINGS (Saida),1556.448,372,,0,93 g,0,58 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33 g,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLINE BOITE 300G (Saida),1569,375,,"6,55g","50,07g","3,07g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPYFULL CROCO / HAPPYFULL EGGZZZ (Saida),1594.104,381,,7g,86g,0,55g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
HAPPYFULL SPIDER / HAPPYFULL WORMS (Saida),1594.104,381,,7g,86g,0,55g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
BREAK CLASSIC CHOCOLAT (Saida),1594.104,381,,4g,"51,2g","17,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREAK CLASSIC VANILLE (Saida),1600.7984,382.6,,"3,9g",52g,"17,7g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALETS AU BEURRE NATURE (Saida),1652.68,395,,"6,83 g",59.64,"13,61 g","19,93 g",,,,,,,,,,,,,,"10,32g",,,,,,,,,,,,,,,,,,"0,451 g",,,,,,,,,,,,,,,,,,,,,,,,,
BREAKCLASSIC CARAMEL (Saida),1653.43312,395.18,,"5,20g","58,17g","15,75g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCE MINI GÂTEAU (Saida),1673.6,400,,"4,1g","56,4g","17,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUC CLASSIC (Saida),1691.1728,404.2,,"7,2g","56,8g","16,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUC POCKET(Saida),1695.7752,405.3,,"7,2g","57,0g","16,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BREAK BAR CARAMEL SAÏDA,1736.36,415,,"4,79 g","59,47 g","17,62 g","41,97 g",,,,,,,,,,,,,,"13,14 g",,,,,,,,,,,,,,,,,,"0,218 g",,,,,,,,,,,,,,,,,,,,,,,,,
SAÏD JUNIOR(Saida),1744.728,417,,"3,87g","48,4g","22,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALETS AU BEURRE ET PÉPITES DE CHOCOLAT(Saida),1770.2504,423.1 ,,"6,76 g","58,06g","17,52 g","22,48 g",,,,,,,,,,,,,,"8,44g",,,,,,,,,,,,,,,,,,"0,371 g",,,,,,,,,,,,,,,,,,,,,,,,,
AUX PÉPITES DE CHOCOLAT(Saida),1770.2504,423.1,,"6,76g","58,06g","17,52g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAÏD JUNIOR AUX LAIT ET AUX DRAGÉES(Saida),1769.832,423,,"3,66g","52,52g",21.46g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJOR CRÈME GOÛT LAIT(Saida),1779.0368,425.2,,4.8g,"60,1g","18,4g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARTELETTES SAÏDA ABRICOT(Saida),1789.0784,427.6,,"4,8g","60,7g",17g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCUITS TRADITION FENOUIL(Saida),1794.936,429,,"6,8g","64,6g","20,4g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR CÉRÉALES ET LAIT(Saida),1811.672,433,,"5,6g","65,7g","16,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR CÉRÉALES ET LAIT 6 PIÈCES(Saida),1811.672,433,,"5,6g","65,7g","16,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJOR CHOCOLAT(Saida),1849.328,442,,"5,8g","69,1g","17,7g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINI TUC(Saida),1849.328,442,,"6,8g","54,2g","22,1g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOURMAND CHOCOLAT AU LAIT FOURRÉ À LA CRÈME BRÛLÉE(Saida),1855.77136,443.54,,"8,68g","50,12g","25,95g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SABLITO ABRICOT(Saida),1857.2776,443.9,,"4,3g","65,1g","18,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SABLITO FIGUE(Saida),1857.2776,443.9,,"4,3g","65,1g","18,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SABLITO FRAISE(Saida),1857.2776,443.9,,"4,3g","65,1g","18,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJOR VANILLE(Saida),1874.432,448,,5g,"67,6g","18,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJOR BANANE(Saida),1874.432,448,,5g,"67,6g","18,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAJOR FRAISE(Saida),1874.432,448,,5g,"67,6g","18,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KROSS(Saida),1874.432,448,,"4,9g","72,3g","15,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAESTRO CLUB CARAMEL(Saida),1924.64,460,,"6,78g","51,96g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUO(Saida),1953.928,467,,"5,76g",67g,19g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARTELETTES SAÏDA CHOCOLAT(Saida),1966.48,470,,"5,6g","65,5g","27,4g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUNGO(Saida),1966.48,470,,"5,9g",62g,"22,1g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCLIC(Saida),1995.768,477,,"5,88g","68,3g",20g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAUFRETTES SAÏDA CHOCOLAT(Saida),2020.872,483,,"5,3g","62,9g","28,2g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SABLITO CHOCOLAT(Saida),2025.056,484,,"5,3g","60,8g","24,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SABLITO CAPPUCCINO(Saida),2025.056,484,,"5,3g","60,8g","24,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAUCHO BROWNIE(Saida),2038.77952,487.28 ,,"7,08 g","54,61 g","26,39 g","28,55 g",,,,,,,,,,,,,,"20,88 g",,,,,,,,,,,,,,,,,,"0,37 g",,,,,,,,,,,,,,,,,,,,,,,,,
CROUSTINA BLACK&WHITE(Saida),2045.976,489,,"3,99 g","55,23g","28,06 gr","35,97 g",,,,,,,,,,,,,,"18,3 g",,,,,,,,,,,,,,,,,,"0,117 g",,,,,,,,,,,,,,,,,,,,,,,,,
X-PLOSE CLASSIQUE(Saida),2054.344,491,,"4,95g","65,6g","23,2g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCE FOURRÉ VANILLE(Saida),2058.528,492,,"4,9g","65,2g","23,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COOKIES AUX PÉPITES DE CHOCOLAT(Saida),2075.264,496,,"6,70 g","62,56 g","23,62 g","34,07 g",,,,,,,,,,,,,,"12,19 g",,,,,,,,,,,,,,,,,,"0,174 g",,,,,,,,,,,,,,,,,,,,,,,,,
MAESTRO TESORO(Saida),2080.61952,497.28,,"10,33g","46,8g","30,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SENSATION LIGHT(Saida),2081.1216,497.4,,"7,8g",15g,"34,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAUFRETTES SAÏDA FRAISE(Saida),2150.576,514,,"4,1g","63,6g","29,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAUFRETTES SAÏDA VANILLE(Saida),2150.576,514,,"4,1g","63,6g","29,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROUSTINA CHOCOLAT 100G(Saida),2163.128,517,,"3,41g","54,8g","31,5g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOOPI AU CHOCOLAT(Saida),2171.496,519,,"8,18 g","62,55 g","26,22 g","49,11 g",,,,,,,,,,,,,,"17,94 g",,,,,,,,,,,,,,,,,,"0,150 g",,,,,,,,,,,,,,,,,,,,,,,,,
MAESTRO CLUB CORNFLAKES(Saida),2188.232,523,,7g,58g,29g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DÉGUSTATION LAIT CAFÉ(Saida),2204.968,527,,8g,"39,3g","39,3g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOURMAND CHOCOLAT AU LAIT FOURRÉ À LA CRÈME DE CACAO(Saida),2220.36512,530.68,,"9,41g","43,87g","38,42g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAESTRO PASSION NOIR(Saida),2239.6952,535.3,,"6,75g","50,77g","32,51g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAUCHO CHOCOLAT(Saida),2238.44,535,,"5,1g","56,6g",32g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROUSTINA CACAO-VANILLE 100G(Saida),2242.624,536,,"5,31g","54,3g","33,05g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROUSTINA CACAO-VANILLE 33G(Saida),2242.624,536,,"5,31g","54,3g","33,05g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROUSTINA NOISETTES 33G(Saida),2242.624,536,,"4,43g",55g,33g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOMENTO(Saida),2242.624,536,,"7,1g","60,4g","29,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOCOLAT DESSERT(Saida),2249.23472,537.58,,"5,07g","34,22g","56,44g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MELODY(Saida),2249.23472,537.58,,"34,22g","5,07g","56,44g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROUSTINA LAIT 100G(Saida),2259.36,540,,"6,2g","53,3g","33,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROUSTINA LAIT 33G(Saida),2259.36,540,,"6,2g","53,3g","33,6g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAESTRO NAPOLITAINS LAIT(Saida),2271.912,543,,"8,9g","55,6g","32,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE CHOCOLAT SAÏD TABLETTES LAIT(Saida),2271.912,543,,"8,9g","55,6g",32g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRIS AU LAIT(Saida),2271.912,543,,"8,9g","55,6g","32,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARRE SAID JUNIOR MONSTER(Saida),2271.912,543,,9.8g,51.3g,32g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-PLOSE TRIPLE CHOC(Saida),2282.87408,545.62,,"6,17g","61,85g","30,44g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRÈME À TARTINER NOUTY(Saida),2305.350528,550.992,,"2,83g","58,886g","33,828g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE CHOCOLAT SAÏD TABLETTE BLANC COOKIES(Saida),2309.568,552,,"6,8g","42,5g","38,82g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRISPONUTS(Saida),2317.936,554,,"7,2g","57,2g","32,8g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRÈME À TARTINER NOISETTES(Saida),2338.856,559,,"4,8g","52,1g","36,4g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
